Latitude,Longitude,Arithmetic Mean
30.497478,-87.880258,0.038873
34.762619,-87.638097,0.039049
34.289001,-85.970065,0.042218
32.498567,-86.136587,0.038456
33.904039,-86.053867,0.039047
31.188933,-85.423094,0.037426
33.553056,-86.815,0.036318
33.485556,-86.915,0.03982
33.331111,-87.003611,0.040242
33.545278,-86.549167,0.038863
33.386389,-86.816667,0.03886
33.801667,-86.9425,0.043821
33.578333,-86.773889,0.041531
34.687761,-86.586362,0.044483
34.772727,-86.756174,0.04302
30.770181,-88.087761,0.037215
30.474305,-88.141022,0.039206
32.412811,-86.263394,0.039139
34.530717,-86.967536,0.041794
32.46735,-85.083447,0.040054
33.317142,-86.825754,0.041217
32.362606,-88.277992,0.034636
33.089772,-87.459733,0.037539
63.7232,-148.9676,0.031966
64.84569,-147.727413,0.026054
32.00941,-109.38906,0.049585
35.206111,-111.652777,0.051861
36.05864,-112.1836,0.048766
33.6547,-111.1074,0.05543
34.2439,-113.5586,0.053545
33.48378,-112.14256,0.046759
33.41018,-111.86536,0.056706
33.56031,-112.06619,0.049912
33.45244,-111.73327,0.055986
33.57453,-112.19193,0.053897
33.70639,-111.85575,0.053263
33.45797,-112.04659,0.045375
33.47968,-111.91721,0.046297
33.40314,-112.07526,0.047354
33.29896,-111.88426,0.053173
33.41123,-111.93471,0.050841
33.82169,-112.01726,0.056392
33.63718,-112.34185,0.051698
33.36985,-112.62068,0.044697
33.629246,-111.676928,0.046898
33.290229,-112.160597,0.050921
33.488131,-111.855443,0.047798
33.507992,-111.755334,0.049173
33.474609,-111.805769,0.055111
33.508125,-111.83852,0.052068
33.9828,-111.79871,0.058329
33.54558,-111.60972,0.05076
33.61092,-111.72534,0.051153
33.71881,-111.67183,0.053294
33.503833,-112.095767,0.04809
34.82251,-109.89249,0.050257
32.174538,-110.737116,0.048325
32.204411,-110.878067,0.04272
32.425261,-111.06352,0.045846
32.04767,-110.774357,0.046391
32.29515,-110.9823,0.044284
31.87952,-110.99644,0.047119
32.172995,-110.980134,0.044308
32.38082,-111.12716,0.044514
33.4214,-111.5436,0.043599
32.954361,-111.76225,0.045593
32.508306,-111.308056,0.049637
33.081704,-111.752943,0.049602
33.293465,-111.285594,0.056264
34.5467,-112.4761,0.049066
32.690278,-114.61444,0.051064
34.1795,-93.0988,0.039357
35.197288,-90.193141,0.04163
35.832726,-93.20826,0.042007
34.454514,-94.143521,0.044106
34.756189,-92.281296,0.040498
34.835721,-92.260581,0.042615
34.681343,-92.328697,0.039945
36.1797,-94.116827,0.043055
36.011703,-94.167436,0.044887
37.687526,-121.784217,0.036183
37.743065,-122.169935,0.025928
37.814781,-122.282347,0.024885
37.654456,-122.031547,0.033901
38.342606,-120.764426,0.040669
39.708454,-121.617309,0.048221
39.76168,-121.84047,0.03915
38.20185,-120.680277,0.042168
39.18919,-121.99887,0.035709
37.936013,-122.026154,0.031905
38.006311,-121.641918,0.037055
37.9604,-122.356811,0.029992
37.743649,-121.934188,0.035811
38.725282,-120.821916,0.049198
38.81161,-120.033084,0.049552
38.890941,-121.003373,0.0503
36.705474,-119.741332,0.049945
36.78538,-119.77321,0.04717
36.841592,-119.874739,0.05219
36.634225,-120.382331,0.049634
36.597442,-119.503659,0.054813
